State,avg_monthly_ssi_payment,caps,arp_caregiver_family_support,ui_good_cause_caregiving,spousal_impoverishment,hcbs_expenditure_ratio,hcbs_user_ratio,pct_ltss_hcbs_older_adults,home_health_aides_per100,arp_waiting_list_diversion,arp_tech_telehealth,arp_cross_sector_investments,livability_transportation,livability_housing,hcbs_presumptive_eligibility,section_811_pra,vr_spending_career,vr_spending_training,special_ed_policy_score,arp_workforce_training,buy_in_working_people,subminimum_wage_14c,medicaid_eligibility_threshold,ssi_auto_enroll_medicaid,medically_needy,ssi_criteria_209,arp_quality_improvement,smd_demonstration_projects,initial_ar,reconsidered_ar,total_ar,adl_medicaid_coverage_pct,private_ltci_per1000,section_811_pct_disability,fema_shmp,family_responsibility_class,sdpi_minmax,sdpi_zscore,sdpi_hybrid,region,domain_Income & Cash Support,domain_Medicaid & LTC,domain_HCBS,domain_Employment & VR,domain_ARP / Pandemic Relief,domain_Housing & Accessibility
Alabama,1.0,0.1133603238866396,0.2508960573476702,0.5,1,0.0,0,0,0,0,0.0,0.0,0.0372881355932203,0.5389908256880733,1,0,0.0157819225251075,0.0,1,0,1,0.1656441717791408,1,0.4999999999999999,0.3137931034482756,0.1612903225806451,0.0956521739130434,0.1052631578947368,1,0,0.0967741935483871,0.6363636363636364,0,0,0,0,0.2870192865570295,-0.5419832473169841,-0.0026036994979839,South,0.4596774193548387,0.564308105687416,0.18421052631578946,0.17035652357606207,0.05775803854345226,0.24137704073827618
Alaska,0.0549725925948458,0.1336032388663967,0.4480286738351254,0.5,1,0.0,0,1,1,1,1.0,0.1081081081081081,0.5169491525423728,0.8577981651376146,1,0,0.3787661406025824,0.2659574468085106,0,0,0,1.0,0,0.9921875,1.0,0.844574780058651,0.0608695652173913,0.631578947368421,0,0,0.064516129032258,0.4090909090909091,0,1,0,1,0.4642702377902074,0.2655005809282855,0.4972470940621938,West,0.3260418336142925,0.487012987012987,0.6052631578947368,0.5361808968527733,0.4361677245267708,0.3583357937923406
Arizona,0.3352388414448216,0.145748987854251,1.0,1.0,1,1.0,0,1,0,1,0.0,0.3513513513513513,0.6457627118644069,0.731651376146789,1,0,0.4404591104734577,0.2808510638297872,1,1,1,0.0490797546012268,1,0.7265625,0.3482758620689653,0.3284457478005864,0.0782608695652174,0.4736842105263157,1,1,0.2580645161290322,0.9090909090909092,0,1,0,0,0.5470612996726012,0.2559431501203391,0.5327573898924933,West,0.6080519342290733,0.6081952530228393,0.5789473684210527,0.44259748222611794,0.5716020368194281,0.503309010837921
Arkansas,0.3726703210858137,0.0566801619433198,0.3082437275985663,0.5,0,0.0,0,1,0,1,0.0,0.0405405405405405,0.0,0.2201834862385322,1,1,0.3098995695839311,0.202127659574468,1,1,1,0.3067484662576688,0,0.5234374999999999,0.4034482758620688,0.4662756598240469,0.0608695652173913,0.4210526315789473,1,0,0.1935483870967742,0.8181818181818182,0,0,0,0,0.3249333436881912,-0.2799996397126402,0.0962314515247364,South,0.4259886446677725,0.3173757277205553,0.40350877192982454,0.32969392385401697,0.401608972226083,0.32526623545455025
California,0.0887235712988783,0.3481781376518218,0.4121863799283154,0.5,1,0.0,0,1,1,1,0.5,0.8648648648648649,0.1983050847457627,0.4977064220183486,1,1,1.0,0.4702127659574468,1,1,1,0.3865030674846624,0,0.7500000000000001,0.5482758620689655,0.7390029325513199,0.1913043478260869,0.631578947368421,1,1,0.3548387096774194,0.3181818181818182,1,1,1,0,0.6363520935663158,0.5039811773767592,0.6174995785188854,West,0.6554275355879363,0.5523510971786834,0.6052631578947368,0.5891789583605274,0.6613925987698779,0.7205985206308476
Colorado,0.1895849652451698,0.3643724696356275,0.3942652329749104,1.0,1,0.0,0,1,1,1,1.0,0.0,0.7694915254237289,0.8073394495412843,1,0,0.6872309899569583,0.4553191489361702,1,1,1,0.251533742331288,0,0.3359375,0.289655172413793,0.442815249266862,0.2608695652173913,0.631578947368421,1,1,0.3870967741935484,0.3181818181818182,0,1,1,0,0.6021492664206212,0.41647928956972,0.5595322177225024,West,0.55923908145093,0.3725481415136588,0.6052631578947368,0.5985209703061041,0.6091891330320502,0.7058862063715201
Connecticut,0.3722787781815588,0.6761133603238867,0.1827956989247312,0.0,1,0.0,0,1,0,1,0.0,0.4189189189189189,0.3881355932203391,0.5091743119266054,0,1,0.4088952654232424,0.4212765957446808,0,1,0,0.6380368098159509,0,0.4062499999999999,0.5379310344827585,0.6832844574780059,0.3739130434782609,0.4210526315789473,1,1,0.2580645161290322,0.1818181818181818,0,1,0,1,0.4717370635426886,0.0978524412296365,0.3591088205501186,Northeast,0.6199796252980995,0.3885356023287057,0.23684210526315788,0.3670521677459685,0.4959379435536519,0.5104890379244045
Delaware,0.4862176975977855,0.1052631578947368,0.1254480286738351,0.5,0,0.0,1,1,0,1,1.0,0.0,0.5711864406779662,0.6811926605504587,1,0,0.3357245337159253,0.1297872340425532,1,1,0,0.4171779141104293,0,0.6953124999999999,0.5413793103448274,0.6099706744868035,0.2695652173913043,0.2105263157894736,1,0,0.2258064516129032,0.6363636363636364,0,1,0,1,0.4679420212571459,0.1255106952531637,0.3256110428084725,South,0.502884553949582,0.3111061352440663,0.5350877192982456,0.34567242046722696,0.5658355410108565,0.4796631798747374
District of Columbia,0.6184025061616962,0.1781376518218623,0.6451612903225806,1.0,1,0.0,0,1,0,1,0.0,0.3513513513513513,0.4966101694915253,0.4999999999999998,1,1,0.6169296987087518,0.2489361702127659,1,1,0,0.1779141104294478,0,0.4843749999999999,0.3137931034482756,0.8973607038123167,1.0,0.4736842105263157,1,0,1.0,0.3181818181818182,0,0,0,1,0.5028005364587009,0.3857596109543244,0.6095287896102788,South,0.6666897016623355,0.37599641737572764,0.41228070175438597,0.5109449948377414,0.6660854402789886,0.45353540304476964
Florida,0.2487862179567934,0.688259109311741,0.3154121863799283,1.0,0,0.5,0,0,1,1,0.0,0.1486486486486486,0.5779661016949154,0.4587155963302751,1,1,0.2725968436154949,0.1382978723404255,1,1,0,0.2392638036809815,1,0.3984374999999999,0.3103448275862069,0.3108504398826978,0.0782608695652174,0.4210526315789473,1,1,0.2903225806451613,0.7272727272727273,0,0,0,0,0.3824709528345285,-0.0432952797037372,0.2812691378203653,South,0.5413994564141088,0.29108822212270485,0.4868421052631579,0.4125396299092255,0.4237202840989657,0.532134401048133
Georgia,0.2620203604407408,0.1700404858299594,0.039426523297491,1.0,0,0.0,0,0,1,1,1.0,0.0,0.3813559322033898,0.7499999999999999,1,1,0.2998565279770444,0.1382978723404255,1,0,1,0.1349693251533739,1,0.7734374999999999,0.4172413793103446,0.3343108504398827,0.1043478260869565,0.1052631578947368,1,0,0.0967741935483871,0.6363636363636364,0,1,1,0,0.4706744276168587,-0.0306390965754543,0.183631602448143,South,0.4110904840715017,0.43622928795342586,0.3508771929824561,0.3932809313677109,0.35729572489740796,0.7573423454333356
Hawaii,0.0980422869556233,0.0121457489878542,0.100358422939068,0.5,1,0.0,0,1,1,1,0.0,0.3513513513513513,0.2796610169491525,0.8646788990825687,0,1,0.2840746054519368,0.1021276595744681,0,1,0,0.2760736196319019,1,0.3984374999999999,0.3310344827586205,0.4545454545454546,0.7391304347826086,0.2631578947368421,1,0,0.5161290322580645,0.0909090909090909,0,0,0,0,0.3109044210082833,-0.2433094392810734,0.0987422231971761,West,0.41119237895985705,0.34599193909538734,0.37719298245614036,0.2905689711645767,0.5318067015121714,0.3080693807170822
Idaho,0.3032106498949231,0.2712550607287449,0.2258064516129032,0.5,0,0.0,0,0,0,1,0.0,0.0405405405405405,0.7033898305084746,0.7499999999999999,1,0,0.4031563845050215,0.3872340425531915,0,0,1,0.4355828220858893,0,0.2578125,0.3586206896551723,0.3665689149560118,0.0695652173913043,0.7894736842105263,0,0,0.3225806451612903,0.5909090909090909,0,0,0,0,0.2398365604912192,-0.3053829356663671,0.1887089620381126,West,0.20836211833537086,0.2785042543663233,0.2982456140350877,0.43149331228602555,0.2226520349241247,0.24637784160531706
Illinois,0.4502740799591335,0.068825910931174,0.1182795698924731,0.5,0,0.0,0,1,1,1,0.0,0.3513513513513513,0.2305084745762712,0.6444954128440368,0,1,0.4677187948350071,0.3170212765957447,0,0,1,0.361963190184049,0,0.4140625,0.3862068965517239,0.3284457478005864,0.2869565217391304,0.3157894736842105,1,1,0.2903225806451613,0.3181818181818182,0,1,0,0,0.3576517295283068,-0.2014652846431205,0.155083370130201,Midwest,0.5805174847341469,0.24348410210479174,0.3859649122807018,0.4116758154037002,0.2927645738304924,0.42054711405021167
Indiana,0.4267815189959191,0.0809716599190283,0.1792114695340501,1.0,0,0.0,0,0,0,1,0.0,0.3513513513513513,0.288135593220339,0.378440366972477,1,0,0.1391678622668579,0.202127659574468,1,1,0,0.361963190184049,0,0.4140625,0.3862068965517239,0.4604105571847506,0.1130434782608695,0.4210526315789473,1,0,0.2258064516129032,0.6818181818181818,0,1,0,0,0.3464416583124702,-0.3158362675086345,0.1060290353381145,Midwest,0.4211768379655954,0.1525750111957008,0.23684210526315788,0.4258146780063437,0.44060104985771176,0.39250680287312056
Iowa,0.2612372753706799,0.3724696356275303,0.1648745519713261,1.0,0,0.0,0,0,0,1,0.0,0.0,0.2847457627118644,0.5321100917431192,1,1,0.2022955523672883,0.151063829787234,1,0,1,0.6871165644171777,1,0.2499999999999999,0.4965517241379309,0.3343108504398827,0.5565217391304348,0.5789473684210527,1,1,0.4193548387096774,0.8181818181818182,0,0,0,0,0.3600328966192159,-0.1336391760922994,0.2518295293451559,Midwest,0.5441504940867067,0.4735333631885356,0.2631578947368421,0.510118986642925,0.28689938185029346,0.45561792715464483
Kansas,0.3133907594979596,0.2429149797570849,0.2222222222222221,0.0,1,0.0,0,1,0,1,0.0,0.0,0.4779661016949153,0.7110091743119265,1,1,0.4088952654232424,0.2702127659574468,0,0,1,0.7423312883435581,0,0.5624999999999999,0.6655172413793102,0.3343108504398827,0.4608695652173913,0.5789473684210527,0,1,0.3225806451612903,0.6363636363636364,0,0,0,0,0.3291296639587971,-0.1184748073546683,0.2781633353774807,Midwest,0.4221303758498554,0.47169726824899233,0.4298245614035088,0.35535982993106185,0.28051529790660223,0.34741289368056094
Kentucky,0.3499608459311092,0.1659919028340081,0.2903225806451613,1.0,0,1.0,0,0,0,1,0.0,0.0,0.2135593220338983,0.0,1,1,0.0703012912482065,0.0446808510638298,1,0,1,0.0,0,0.0,0.0,0.4838709677419355,0.1130434782608695,0.4736842105263157,1,0,0.1290322580645161,0.6818181818181818,0,0,0,0,0.2717505709827951,-0.3827602818006631,0.019958853653267,South,0.32714401195626014,0.24025974025974023,0.41228070175438597,0.2787455355780091,0.23389434315100513,0.33993588926684376
Louisiana,0.3936570083479354,0.0850202429149797,0.4193548387096775,0.5,1,1.0,1,0,1,1,1.0,0.0,0.0677966101694915,0.268348623853211,1,1,0.1262553802008608,0.202127659574468,1,1,1,0.2760736196319019,1,0.5546875000000001,0.3999999999999998,0.6480938416422287,0.1217391304347826,0.2631578947368421,1,0,0.2903225806451613,0.6818181818181818,1,1,0,0,0.5244813121845975,0.1858563603116182,0.363517710854602,South,0.4811268217725542,0.725974025974026,0.7105263157894738,0.2761141648518077,0.5901823281907433,0.48873792527681176
Maine,0.1944400941564452,0.1093117408906882,0.100358422939068,1.0,1,0.0,0,1,0,1,1.0,0.3513513513513513,0.5050847457627118,0.4013761467889907,1,1,0.3098995695839311,0.3,1,1,0,0.4171779141104293,1,0.78125,0.5793103448275861,1.0,0.2869565217391304,0.7894736842105263,1,0,0.2580645161290322,0.9090909090909092,0,1,0,1,0.5642541122589614,0.3990814220477679,0.572854323121689,Northeast,0.5389591017142462,0.6412001791312135,0.46491228070175444,0.5067693709235901,0.6231110493382582,0.5736818047774843
Maryland,0.5271730619001741,0.2631578947368421,0.3154121863799283,0.5,0,1.0,0,0,0,1,0.0,0.0,0.5711864406779662,0.7431192660550459,1,1,0.351506456241033,0.2872340425531915,1,0,0,0.6809815950920243,0,0.6406249999999999,0.6655172413793102,0.4692082111436951,0.2521739130434782,0.5263157894736842,0,0,0.3870967741935484,0.1818181818181818,0,1,0,0,0.3616215679614601,-0.0916213968971063,0.3425882157506877,South,0.3373505078729029,0.12104791759964172,0.42105263157894735,0.45493052347156215,0.26126434990390107,0.6539233716385507
Massachusetts,0.3507439310011701,0.5506072874493927,0.0931899641577061,1.0,0,0.5,1,1,1,1,0.0,0.3513513513513513,0.5542372881355933,0.5917431192660548,1,1,0.6097560975609756,0.4936170212765957,1,1,1,0.4601226993865031,1,0.7343749999999999,0.5827586206896551,0.844574780058651,0.2869565217391304,0.6842105263157895,1,1,0.1935483870967742,0.0909090909090909,0,1,0,0,0.5606496537098986,0.4150205186115895,0.6074188160872616,Northeast,0.6872070163594325,0.3819525302283923,0.8640350877192983,0.6408739545560186,0.4552496395413646,0.6709410992644343
Michigan,0.4995301489579635,0.0769230769230769,0.1469534050179211,0.0,1,1.0,1,0,0,1,0.0,0.3513513513513513,0.5152542372881357,0.805045871559633,1,1,0.2281205164992826,0.1936170212765957,1,0,0,0.3742331288343555,1,0.4609375,0.4137931034482758,0.5777126099706744,0.1391304347826087,0.5263157894736842,0,0,0.3870967741935484,0.3636363636363636,1,1,0,0,0.4052917850751652,0.0132834986877009,0.323711033277874,Midwest,0.32087950552036437,0.5396327810120913,0.587719298245614,0.19899266665255844,0.2729058651919802,0.6281747408244065
Minnesota,0.5674236492702833,0.5182186234817814,0.100358422939068,0.5,1,0.0,0,1,1,1,0.0,0.2972972972972973,0.8169491525423729,0.8761467889908255,0,1,0.8407460545193686,0.6382978723404256,0,1,0,0.6319018404907975,0,0.2109374999999999,0.4482758620689655,0.4868035190615835,0.4956521739130435,0.5789473684210527,1,0,0.0,0.5909090909090909,0,1,0,1,0.5226882580097116,0.3315703838914905,0.5477708760095062,Midwest,0.3775274447219778,0.43416927899686525,0.4298245614035088,0.6527364418376479,0.4822179823582348,0.6016163664307115
